Datetime,Open,High,Low,Close,Adj_Close,Volume
2025-02-11 13:45:00+05:30,1877.0,1877.5,1875.3499755859375,1876.699951171875,1876.699951171875,26251
2025-02-11 13:50:00+05:30,1876.5999755859375,1878.0,1876.0,1876.75,1876.75,28693
2025-02-11 13:55:00+05:30,1876.75,1877.25,1875.8499755859375,1875.949951171875,1875.949951171875,4819
